(<http://dbpedia.org/resource/Lester_Lefton>,<http://dbpedia.org/resource/David_Naylor>) (4,0) :	sim: 0.459
	<http://dbpedia.org/property/website> ( 231 ) : 0.053	5.3%
	<http://dbpedia.org/property/wordnet_type> ( 245 ) : 0.053	5.3%
(<http://dbpedia.org/resource/Case_Western_Reserve_University>,<http://dbpedia.org/resource/Lester_Lefton>) (10,4) :	sim: 0.178
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.333	33.3%
	<http://dbpedia.org/property/caption> ( 46 ) : 0.333	33.3%
	<http://dbpedia.org/property/name> ( 145 ) : 0.333	33.3%
(<http://dbpedia.org/resource/Kent_State_University>,<http://dbpedia.org/resource/Cleveland>) (8,6) :	sim: 0.173
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.167	16.7%
	<http://dbpedia.org/property/established> ( 68 ) : 0.167	16.7%
	<http://dbpedia.org/property/motto> ( 142 ) : 0.167	16.7%
	<http://dbpedia.org/property/name> ( 145 ) : 0.167	16.7%
	<http://dbpedia.org/property/nickname> ( 147 ) : 0.167	16.7%
	<http://dbpedia.org/property/website> ( 231 ) : 0.167	16.7%
(<http://dbpedia.org/resource/Kent_State_University>,<http://dbpedia.org/resource/Toronto>) (8,2) :	sim: 0.169
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.250	25.0%
	<http://dbpedia.org/property/motto> ( 142 ) : 0.250	25.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.250	25.0%
	<http://dbpedia.org/property/nickname> ( 147 ) : 0.250	25.0%
(<http://dbpedia.org/resource/Case_Western_Reserve_University>,<http://dbpedia.org/resource/Toronto>) (10,2) :	sim: 0.168
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.250	25.0%
	<http://dbpedia.org/property/motto> ( 142 ) : 0.250	25.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.250	25.0%
	<http://dbpedia.org/property/nickname> ( 147 ) : 0.250	25.0%
(<http://dbpedia.org/resource/Case_Western_Reserve_University>,<http://dbpedia.org/resource/Cleveland>) (10,6) :	sim: 0.166
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.167	16.7%
	<http://dbpedia.org/property/established> ( 68 ) : 0.167	16.7%
	<http://dbpedia.org/property/motto> ( 142 ) : 0.167	16.7%
	<http://dbpedia.org/property/name> ( 145 ) : 0.167	16.7%
	<http://dbpedia.org/property/nickname> ( 147 ) : 0.167	16.7%
	<http://dbpedia.org/property/website> ( 231 ) : 0.167	16.7%
(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/Kent_State_University>) (14,8) :	sim: 0.163
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.500	50.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.500	50.0%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Cleveland>) (16,6) :	sim: 0.161
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/established> ( 68 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.200	20.0%
	<http://dbpedia.org/property/nickname> ( 147 ) : 0.200	20.0%
	<http://dbpedia.org/property/website> ( 231 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Kent_State_University>,<http://dbpedia.org/resource/Lester_Lefton>) (8,4) :	sim: 0.161
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.500	50.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.500	50.0%
(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/Case_Western_Reserve_University>) (14,10) :	sim: 0.161
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.500	50.0%
