(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/David_Naylor>) (14,0) :	sim: 0.717
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.167	16.7%
(<http://dbpedia.org/resource/Case_Western_Reserve_University>,<http://dbpedia.org/resource/Toronto>) (10,2) :	sim: 0.265
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.143	14.3%
	<http://dbpedia.org/property/motto> ( 48 ) : 0.143	14.3%
	<http://dbpedia.org/property/name> ( 51 ) : 0.143	14.3%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.143	14.3%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.143	14.3%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.143	14.3%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.143	14.3%
(<http://dbpedia.org/resource/Kent,_Ohio>,<http://dbpedia.org/resource/Kent_State_University>) (12,8) :	sim: 0.264
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.167	16.7%
	<http://dbpedia.org/property/name> ( 51 ) : 0.167	16.7%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.167	16.7%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.167	16.7%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Kent,_Ohio>) (16,12) :	sim: 0.263
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.167	16.7%
	<http://dbpedia.org/property/name> ( 51 ) : 0.167	16.7%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.167	16.7%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.167	16.7%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Toronto>) (16,2) :	sim: 0.259
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.167	16.7%
	<http://dbpedia.org/property/name> ( 51 ) : 0.167	16.7%
